"n.plots","design","n_neighbors"
50,"random",5
100,"random",5
200,"random",5
400,"random",5
600,"random",5
50,"grid",5
100,"grid",5
200,"grid",5
400,"grid",5
600,"grid",5
50,"h_line",5
100,"h_line",5
200,"h_line",5
400,"h_line",5
600,"h_line",5
50,"v_line",5
100,"v_line",5
200,"v_line",5
400,"v_line",5
600,"v_line",5
50,"box4",5
100,"box4",5
200,"box4",5
400,"box4",5
600,"box4",5
50,"box16",5
100,"box16",5
200,"box16",5
400,"box16",5
600,"box16",5
50,"heavy_pref",5
100,"heavy_pref",5
200,"heavy_pref",5
400,"heavy_pref",5
600,"heavy_pref",5
50,"mod_pref",5
100,"mod_pref",5
200,"mod_pref",5
400,"mod_pref",5
600,"mod_pref",5
50,"random",10
100,"random",10
200,"random",10
400,"random",10
600,"random",10
50,"grid",10
100,"grid",10
200,"grid",10
400,"grid",10
600,"grid",10
50,"h_line",10
100,"h_line",10
200,"h_line",10
400,"h_line",10
600,"h_line",10
50,"v_line",10
100,"v_line",10
200,"v_line",10
400,"v_line",10
600,"v_line",10
50,"box4",10
100,"box4",10
200,"box4",10
400,"box4",10
600,"box4",10
50,"box16",10
100,"box16",10
200,"box16",10
400,"box16",10
600,"box16",10
50,"heavy_pref",10
100,"heavy_pref",10
200,"heavy_pref",10
400,"heavy_pref",10
600,"heavy_pref",10
50,"mod_pref",10
100,"mod_pref",10
200,"mod_pref",10
400,"mod_pref",10
600,"mod_pref",10
50,"random",15
100,"random",15
200,"random",15
400,"random",15
600,"random",15
50,"grid",15
100,"grid",15
200,"grid",15
400,"grid",15
600,"grid",15
50,"h_line",15
100,"h_line",15
200,"h_line",15
400,"h_line",15
600,"h_line",15
50,"v_line",15
100,"v_line",15
200,"v_line",15
400,"v_line",15
600,"v_line",15
50,"box4",15
100,"box4",15
200,"box4",15
400,"box4",15
600,"box4",15
50,"box16",15
100,"box16",15
200,"box16",15
400,"box16",15
600,"box16",15
50,"heavy_pref",15
100,"heavy_pref",15
200,"heavy_pref",15
400,"heavy_pref",15
600,"heavy_pref",15
50,"mod_pref",15
100,"mod_pref",15
200,"mod_pref",15
400,"mod_pref",15
600,"mod_pref",15
50,"random",20
100,"random",20
200,"random",20
400,"random",20
600,"random",20
50,"grid",20
100,"grid",20
200,"grid",20
400,"grid",20
600,"grid",20
50,"h_line",20
100,"h_line",20
200,"h_line",20
400,"h_line",20
600,"h_line",20
50,"v_line",20
100,"v_line",20
200,"v_line",20
400,"v_line",20
600,"v_line",20
50,"box4",20
100,"box4",20
200,"box4",20
400,"box4",20
600,"box4",20
50,"box16",20
100,"box16",20
200,"box16",20
400,"box16",20
600,"box16",20
50,"heavy_pref",20
100,"heavy_pref",20
200,"heavy_pref",20
400,"heavy_pref",20
600,"heavy_pref",20
50,"mod_pref",20
100,"mod_pref",20
200,"mod_pref",20
400,"mod_pref",20
600,"mod_pref",20
50,"random",25
100,"random",25
200,"random",25
400,"random",25
600,"random",25
50,"grid",25
100,"grid",25
200,"grid",25
400,"grid",25
600,"grid",25
50,"h_line",25
100,"h_line",25
200,"h_line",25
400,"h_line",25
600,"h_line",25
50,"v_line",25
100,"v_line",25
200,"v_line",25
400,"v_line",25
600,"v_line",25
50,"box4",25
100,"box4",25
200,"box4",25
400,"box4",25
600,"box4",25
50,"box16",25
100,"box16",25
200,"box16",25
400,"box16",25
600,"box16",25
50,"heavy_pref",25
100,"heavy_pref",25
200,"heavy_pref",25
400,"heavy_pref",25
600,"heavy_pref",25
50,"mod_pref",25
100,"mod_pref",25
200,"mod_pref",25
400,"mod_pref",25
600,"mod_pref",25
